,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
258,Saint Joseph's,35,22,13,.629,7.56,1.13,,11,7,,13,5,,4,6,,2627,2402,,1410,907,2070,.438,323,963,.335,490,657,.746,372,1299,510,228,197,395,503
259,Saint Louis,34,19,15,.559,3.36,2.36,,11,7,,14,3,,4,9,,2527,2423,,1370,899,1886,.477,333,945,.352,396,577,.686,258,1198,509,216,105,432,499
260,Saint Mary's (CA) NCAA,34,29,5,.853,17.75,6.02,,17,1,,16,1,,9,1,,2485,2058,,1370,916,2018,.454,220,684,.322,433,624,.694,474,1354,521,207,136,332,508
261,Saint Peter's,28,12,16,.429,-10.44,-8.25,,7,13,,6,6,,6,10,,1848,1842,,1130,624,1581,.395,199,604,.329,401,543,.738,377,1043,289,190,101,381,528
262,Sam Houston,32,13,19,.406,-2.75,1.42,,6,12,,9,4,,3,13,,2411,2433,,1295,827,1855,.446,276,712,.388,481,663,.725,345,1129,412,205,93,405,565
263,Samford,33,22,11,.667,1.08,-3.63,,12,6,,13,3,,9,7,,2736,2492,,1330,970,2107,.460,356,978,.364,440,609,.722,431,1188,543,326,120,428,647
264,San Diego,33,6,27,.182,-8.12,1.89,,2,16,,5,13,,0,12,,2314,2629,,1320,820,2016,.407,211,719,.293,463,616,.752,381,1132,376,245,118,440,693
265,San Diego State NCAA,31,21,10,.677,12.80,8.17,,14,6,,12,3,,6,4,,2194,2004,,1250,789,1784,.442,239,717,.333,375,565,.664,314,1090,404,237,169,340,571
266,San Francisco,34,25,9,.735,10.94,4.13,,13,5,,17,2,,5,5,,2584,2343,,1365,905,1983,.456,293,865,.339,481,679,.708,349,1203,470,229,114,404,641
267,San Jose State,35,15,20,.429,0.53,4.08,,7,13,,7,9,,3,9,,2525,2568,,1415,891,2009,.444,284,818,.347,459,616,.745,333,1190,452,209,106,402,547
268,Santa Clara,33,21,12,.636,13.84,4.47,,12,6,,12,4,,6,5,,2702,2393,,1335,957,2031,.471,363,948,.383,425,583,.729,371,1245,566,220,101,392,540
269,Seattle,32,14,18,.438,-0.12,-1.25,,8,8,,9,5,,4,11,,2254,2125,,1280,746,1799,.415,214,663,.323,548,767,.714,347,1099,386,259,102,364,574
270,Seton Hall,32,7,25,.219,-0.02,8.60,,2,18,,5,11,,0,11,,1970,2246,,1295,708,1770,.400,168,539,.312,386,582,.663,359,996,359,260,108,400,577
271,Siena,32,14,18,.438,-7.29,-7.42,,9,11,,9,5,,4,10,,2311,2307,,1300,783,1827,.429,239,729,.328,506,681,.743,315,1030,378,219,159,379,518
272,South Alabama,32,21,11,.656,1.55,-4.08,,13,5,,13,4,,8,6,,2334,2066,,1310,814,1835,.444,273,838,.326,433,615,.704,320,1130,461,299,84,297,430
273,South Carolina,32,12,20,.375,9.87,11.53,,2,16,,10,8,,1,10,,2233,2286,,1290,741,1735,.427,214,677,.316,537,751,.715,323,1100,405,181,94,396,514
274,South Carolina State,33,20,13,.606,-4.49,-8.92,,11,3,,10,2,,7,10,,2624,2324,,1330,902,1926,.468,234,647,.362,586,827,.709,408,1165,514,313,116,469,695
275,South Carolina Upstate,32,6,26,.188,-15.57,-2.61,,2,14,,4,10,,2,14,,2393,2673,,1280,881,1941,.454,222,726,.306,409,606,.675,299,1086,426,242,74,453,618
276,South Dakota,33,19,14,.576,-5.59,-3.39,,9,7,,14,2,,4,11,,2812,2763,,1320,946,2104,.450,260,811,.321,660,925,.714,393,1179,382,249,110,317,613
277,South Dakota State,32,20,12,.625,2.29,-1.68,,11,5,,13,1,,4,8,,2546,2352,,1280,913,1937,.471,277,791,.350,443,593,.747,374,1287,451,150,84,386,518
278,South Florida,32,13,19,.406,-2.04,-0.07,,6,12,,9,6,,2,10,,2381,2385,,1290,842,1899,.443,226,711,.318,471,654,.720,329,1107,460,265,113,355,548
279,Southeast Missouri State,33,21,12,.636,-4.83,-7.80,,15,5,,12,3,,8,7,,2442,2212,,1330,901,1974,.456,242,726,.333,398,551,.722,278,1093,448,269,119,352,596
280,Southeastern Louisiana,32,18,14,.563,-4.09,-4.76,,12,8,,8,4,,9,8,,2324,2232,,1290,824,1854,.444,195,592,.329,481,642,.749,349,1147,378,222,74,373,550
281,Southern,32,20,12,.625,-6.82,-7.89,,15,3,,11,1,,9,10,,2392,2184,,1291,849,1949,.436,212,658,.322,482,721,.669,415,1194,415,309,123,401,595
282,Southern California,33,16,17,.485,12.43,11.03,,7,13,,12,7,,3,7,,2537,2491,,1330,897,1861,.482,237,645,.367,506,678,.746,287,1033,510,210,98,408,589
283,Southern Illinois,33,14,19,.424,-2.16,1.13,,8,12,,7,8,,5,7,,2405,2458,,1330,875,1896,.461,222,632,.351,433,641,.676,338,1173,467,207,99,412,558
284,SIU Edwardsville NCAA,34,22,12,.647,-6.08,-7.40,,13,7,,12,3,,7,8,,2436,2260,,1370,874,2030,.431,249,748,.333,439,655,.670,403,1297,462,226,137,388,560
285,Southern Indiana,30,10,20,.333,-13.80,-8.33,,5,15,,8,7,,2,13,,2144,2204,,1215,766,1791,.428,216,616,.351,396,542,.731,315,1075,343,201,86,351,516
286,Southern Methodist,34,24,10,.706,14.73,5.79,,13,7,,13,5,,7,4,,2714,2410,,1360,963,2008,.480,263,706,.373,525,730,.719,423,1311,533,272,125,408,565
287,Southern Mississippi,33,11,22,.333,-9.82,-3.24,,5,13,,9,6,,1,13,,2352,2507,,1330,842,1954,.431,217,717,.303,451,652,.692,347,1233,476,227,142,460,554
288,Southern Utah,31,12,19,.387,-10.49,-1.99,,4,12,,8,7,,3,11,,2163,2285,,1240,758,1785,.425,182,582,.313,465,638,.729,341,1149,371,157,136,448,546
289,St. Bonaventure,34,22,12,.647,3.21,0.37,,9,9,,12,4,,7,6,,2334,2218,,1365,852,1918,.444,211,676,.312,419,575,.729,319,1145,373,256,110,353,456
290,St. John's (NY) NCAA,35,31,4,.886,21.87,8.55,,18,2,,18,0,,8,2,,2759,2293,,1420,1033,2291,.451,219,712,.308,474,687,.690,507,1436,560,315,183,386,581
291,St. Thomas,34,24,10,.706,1.15,-4.36,,12,4,,14,0,,7,8,,2827,2544,,1365,976,1983,.492,355,917,.387,520,667,.780,247,1063,523,244,108,324,613
292,Stanford,34,21,13,.618,9.20,6.35,,11,9,,17,2,,3,8,,2496,2399,,1360,869,1999,.435,286,834,.343,472,598,.789,365,1158,472,236,123,357,582
293,Stephen F. Austin,31,14,17,.452,-8.09,-3.37,,7,13,,8,8,,6,9,,2065,2118,,1255,756,1791,.422,191,659,.290,362,572,.633,407,1165,388,258,130,483,514
294,Stetson,32,8,24,.250,-16.47,-4.47,,6,12,,5,9,,3,11,,2293,2608,,1290,805,1810,.445,233,686,.340,450,612,.735,270,1056,376,165,99,415,470
295,Stonehill,32,15,17,.469,-12.86,-9.30,,7,9,,11,3,,3,13,,2198,2242,,1280,759,1748,.434,276,777,.355,404,558,.724,288,1060,461,206,84,388,530
296,Stony Brook,32,8,24,.250,-13.63,-4.21,,4,14,,5,9,,3,13,,2128,2372,,1280,739,1784,.414,236,700,.337,414,555,.746,335,1059,361,163,66,376,487
297,Syracuse,33,14,19,.424,5.06,8.16,,7,13,,11,6,,2,9,,2464,2566,,1350,897,1964,.457,211,643,.328,459,651,.705,364,1224,448,161,83,415,542
298,Tarleton State,32,12,20,.375,-10.18,-0.18,,7,9,,10,3,,1,14,,2025,2227,,1280,697,1614,.432,132,408,.324,499,681,.733,303,971,338,300,115,562,612
299,TCU,32,16,16,.500,10.80,11.95,,9,11,,14,3,,2,9,,2162,2199,,1285,780,1875,.416,195,650,.300,407,629,.647,385,1114,389,243,110,372,501
300,Temple,32,17,15,.531,-0.08,-0.21,,9,9,,12,2,,3,9,,2520,2487,,1310,840,1875,.448,216,597,.362,624,848,.736,359,1165,347,205,119,351,575
301,Tennessee NCAA,35,28,7,.800,24.20,12.40,,12,6,,16,1,,6,5,,2618,2205,,1400,902,1980,.456,292,857,.341,522,704,.741,399,1277,542,245,174,362,542
302,Tennessee State,33,17,16,.515,-8.02,-8.72,,12,8,,12,3,,4,10,,2577,2418,,1350,909,1964,.463,219,673,.325,540,793,.681,428,1338,440,237,127,506,625
303,Tennessee Tech,32,15,17,.469,-11.05,-7.78,,10,10,,9,5,,5,10,,2308,2371,,1290,810,1874,.432,309,878,.352,379,543,.698,277,1110,486,203,88,372,424
304,Tennessee-Martin,33,14,19,.424,-11.13,-8.13,,9,11,,8,5,,5,12,,2455,2373,,1350,836,1997,.419,306,949,.322,477,682,.699,453,1301,447,267,93,433,556
305,Texas NCAA,35,19,16,.543,15.66,9.80,,6,12,,11,7,,4,6,,2747,2542,,1420,956,2067,.463,264,729,.362,569,760,.749,356,1248,452,219,150,348,654
306,Texas A&M NCAA,33,23,10,.697,19.60,13.15,,11,7,,13,3,,5,5,,2458,2245,,1330,830,1979,.419,230,746,.308,568,821,.692,528,1356,392,250,134,406,569
307,Texas A&M-Corpus Christi,34,20,14,.588,-1.07,-3.47,,12,8,,15,2,,4,11,,2576,2291,,1360,968,1976,.490,199,580,.343,441,699,.631,381,1240,509,268,121,408,602
308,Texas Southern,32,15,17,.469,-10.19,-8.16,,12,6,,9,4,,6,12,,2325,2307,,1290,846,1974,.429,233,697,.334,400,554,.722,368,1201,438,274,109,444,538
309,Texas State,32,16,16,.500,-3.49,-3.66,,9,9,,10,4,,4,10,,2439,2346,,1310,867,1869,.464,190,518,.367,515,681,.756,389,1184,465,227,129,393,584
310,Texas Tech NCAA,34,26,8,.765,23.46,10.23,,15,5,,15,3,,8,2,,2752,2302,,1380,966,2067,.467,351,938,.374,469,617,.760,397,1252,570,219,103,336,535
311,Texas-Rio Grande Valley,31,16,15,.516,-6.15,-3.48,,8,12,,12,4,,2,11,,2378,2294,,1240,872,1965,.444,328,997,.329,306,433,.707,365,1165,534,235,87,417,510
312,The Citadel,30,5,25,.167,-18.46,-4.58,,0,18,,5,12,,0,12,,1997,2251,,1215,706,1685,.419,226,766,.295,359,582,.617,318,1032,368,180,61,376,483
313,Toledo,33,18,15,.545,-5.95,-2.70,,10,8,,9,4,,6,9,,2603,2645,,1325,937,2019,.464,193,574,.336,536,715,.750,357,1123,438,178,91,310,523
314,Towson,33,22,11,.667,-1.73,-3.38,,16,2,,12,1,,9,5,,2309,2201,,1335,836,1988,.421,253,750,.337,384,563,.682,433,1213,351,213,110,309,528
315,Troy NCAA,34,23,11,.676,3.63,-2.03,,13,5,,11,4,,9,6,,2495,2235,,1360,851,1954,.436,261,878,.297,532,741,.718,471,1311,473,321,157,458,562
316,Tulane,33,19,14,.576,1.90,-1.07,,12,6,,14,3,,4,7,,2473,2304,,1325,855,1880,.455,254,744,.341,509,670,.760,306,1150,490,239,150,355,565
317,Tulsa,33,13,20,.394,-5.81,-1.78,,6,12,,8,9,,3,8,,2352,2430,,1340,829,1910,.434,262,813,.322,430,645,.667,321,1178,450,202,90,377,514
318,UAB,35,23,12,.657,4.51,-0.58,,13,5,,14,4,,6,5,,2875,2657,,1405,1052,2296,.458,228,675,.338,543,713,.762,518,1404,561,235,150,353,542
319,UC Davis,32,15,17,.469,-6.20,-1.30,,9,11,,8,6,,7,10,,2175,2249,,1285,737,1784,.413,203,625,.325,498,670,.743,326,1057,354,252,115,424,577
320,UC Irvine,35,29,6,.829,7.90,-1.19,,17,3,,11,2,,14,3,,2662,2323,,1415,912,1999,.456,247,698,.354,591,734,.805,326,1332,553,238,124,444,542
321,UC Riverside,34,21,13,.618,-1.25,0.59,,14,6,,14,1,,7,11,,2542,2550,,1380,903,2119,.426,306,907,.337,430,569,.756,422,1264,449,186,82,380,613
322,UC San Diego NCAA,35,30,5,.857,12.81,-1.74,,18,2,,13,2,,12,2,,2777,2163,,1400,954,2058,.464,375,1035,.362,494,662,.746,319,1190,550,345,74,305,576
323,UC Santa Barbara,34,21,13,.618,0.47,-3.32,,11,9,,12,5,,7,7,,2527,2340,,1360,875,1891,.463,340,893,.381,437,572,.764,303,1153,508,205,106,416,570
324,UCF,33,17,16,.515,10.56,11.38,,7,13,,13,5,,2,8,,2617,2644,,1340,875,2062,.424,286,851,.336,581,748,.777,407,1214,464,258,148,418,568
325,UCLA NCAA,33,23,10,.697,19.80,10.29,,13,7,,15,2,,5,5,,2464,2150,,1320,890,1907,.467,245,692,.354,439,620,.708,356,1083,545,265,103,348,567
326,UNC Asheville,32,21,11,.656,-5.25,-4.61,,11,5,,13,1,,6,9,,2630,2450,,1295,942,1993,.473,255,732,.348,491,686,.716,362,1125,449,240,134,334,619
327,UNC Greensboro,32,20,12,.625,-1.04,-4.18,,13,5,,11,3,,8,6,,2332,2092,,1280,818,1850,.442,294,790,.372,402,547,.735,350,1174,416,192,91,316,519
328,UNC Wilmington NCAA,35,27,8,.771,2.57,-3.73,,14,4,,15,3,,9,4,,2771,2459,,1415,971,2067,.470,255,758,.336,574,765,.750,436,1358,538,224,120,385,585
329,UT Arlington,31,13,18,.419,-5.45,-2.73,,6,10,,9,4,,3,11,,2302,2320,,1255,799,1793,.446,269,759,.354,435,658,.661,361,1132,436,184,99,418,558
330,Utah,32,16,16,.500,11.82,8.73,,8,12,,15,4,,1,9,,2409,2310,,1285,845,1896,.446,271,831,.326,448,701,.639,409,1275,561,204,117,401,592
331,Utah State NCAA,34,26,8,.765,13.61,5.40,,15,5,,15,2,,7,4,,2716,2381,,1360,953,1970,.484,300,842,.356,510,726,.702,395,1177,583,291,94,364,617
332,Utah Tech,33,7,26,.212,-10.16,-1.52,,2,14,,5,8,,0,16,,2305,2508,,1325,810,1908,.425,246,738,.333,439,632,.695,332,1090,418,213,106,417,634
333,Utah Valley,34,25,9,.735,2.06,-3.16,,15,1,,12,0,,10,7,,2584,2322,,1370,912,1948,.468,205,612,.335,555,806,.689,369,1299,531,226,191,415,560
334,UTEP,33,18,15,.545,-0.53,0.44,,7,11,,11,5,,4,8,,2392,2335,,1325,825,1879,.439,241,686,.351,501,701,.715,295,1029,434,337,99,391,596
335,UTSA,31,12,19,.387,-2.44,0.63,,6,12,,7,7,,4,11,,2378,2382,,1250,816,1929,.423,308,853,.361,438,553,.792,332,1003,393,294,107,339,564
336,Valparaiso,34,15,19,.441,-2.83,-0.05,,6,14,,10,7,,3,10,,2539,2513,,1375,873,2044,.427,263,783,.336,530,671,.790,340,1172,409,199,127,331,557
337,Vanderbilt NCAA,33,20,13,.606,14.67,10.06,,8,10,,14,3,,3,7,,2604,2452,,1325,915,2034,.450,267,822,.325,507,680,.746,379,1145,459,295,129,336,592
338,Vermont,33,21,12,.636,-7.91,-7.46,,13,3,,13,3,,7,8,,2199,2106,,1320,776,1789,.434,256,775,.330,391,543,.720,291,1125,398,184,147,371,452
339,Villanova,33,19,14,.576,13.27,7.39,,11,9,,14,3,,3,8,,2421,2227,,1320,842,1823,.462,316,794,.398,421,526,.800,307,1114,413,187,76,328,510
340,Virginia,32,15,17,.469,5.83,7.83,,8,12,,10,7,,4,7,,2073,2137,,1280,739,1656,.446,266,709,.375,329,437,.753,216,937,470,176,120,323,489
341,Virginia Commonwealth NCAA,35,28,7,.800,14.76,1.61,,15,3,,15,1,,7,3,,2693,2201,,1405,929,2088,.445,337,1002,.336,498,670,.743,463,1337,524,282,190,394,632
342,VMI,34,15,19,.441,-11.29,-4.92,,7,11,,7,7,,5,10,,2492,2487,,1365,833,1954,.426,303,932,.325,523,687,.761,339,1180,427,269,89,408,549
343,Virginia Tech,32,13,19,.406,2.74,6.74,,8,12,,8,9,,5,5,,2213,2341,,1295,785,1778,.442,252,719,.350,391,548,.714,325,1066,404,174,62,430,544
344,Wagner,30,14,16,.467,-15.41,-9.95,,6,10,,8,6,,6,10,,1874,1818,,1215,663,1635,.406,207,620,.334,341,483,.706,340,1046,378,212,47,353,512
345,Wake Forest,32,21,11,.656,9.71,7.55,,13,7,,13,3,,6,6,,2246,2177,,1280,790,1782,.443,179,628,.285,487,644,.756,284,1061,362,230,126,362,527
346,Washington,31,13,18,.419,6.25,10.75,,4,16,,9,9,,2,9,,2219,2339,,1250,788,1771,.445,218,633,.344,425,623,.682,296,1011,399,200,120,373,569
347,Washington State,33,19,14,.576,4.89,4.44,,8,10,,10,4,,4,7,,2601,2586,,1325,939,1913,.491,290,794,.365,433,620,.698,329,1126,557,211,163,483,633
348,Weber State,34,12,22,.353,-9.45,-2.97,,5,13,,5,10,,4,11,,2443,2443,,1370,866,1903,.455,252,727,.347,459,653,.703,289,1140,389,221,82,373,606
349,West Georgia,31,6,25,.194,-15.36,-4.29,,4,14,,4,8,,2,15,,2140,2426,,1241,803,1848,.435,168,557,.302,366,528,.693,295,1016,418,216,92,351,493
350,West Virginia,32,19,13,.594,15.21,11.86,,10,10,,13,4,,4,7,,2181,2074,,1300,782,1842,.425,277,849,.326,340,472,.720,288,1064,442,242,131,344,532
351,Western Carolina,30,8,22,.267,-15.92,-2.43,,4,14,,7,7,,1,14,,2090,2371,,1215,720,1828,.394,272,892,.305,378,507,.746,310,1152,362,158,93,420,509
352,Western Illinois,31,12,19,.387,-15.20,-8.48,,6,14,,8,7,,4,11,,2130,2211,,1250,774,1759,.440,248,661,.375,334,483,.692,317,1079,317,168,116,373,443
353,Western Kentucky,32,17,15,.531,-0.41,1.09,,8,10,,13,5,,4,9,,2395,2392,,1285,843,1997,.422,262,797,.329,447,617,.724,297,1188,382,259,85,352,585
354,Western Michigan,32,12,20,.375,-9.42,-4.03,,9,9,,6,9,,6,10,,2306,2433,,1280,850,1993,.426,190,662,.287,414,616,.672,423,1208,398,222,75,352,574
355,Wichita State,34,19,15,.559,2.43,1.94,,8,10,,11,6,,5,7,,2516,2485,,1370,909,2041,.445,176,577,.305,522,717,.728,397,1311,402,229,151,394,519
356,William & Mary,32,17,15,.531,-6.04,-4.04,,11,7,,12,2,,4,11,,2487,2445,,1280,842,1858,.453,336,960,.350,467,646,.723,298,1102,529,232,58,407,570
357,Winthrop,34,23,11,.676,-1.57,-4.06,,11,5,,16,2,,5,8,,2879,2651,,1375,978,2064,.474,275,804,.342,648,970,.668,421,1312,439,270,114,446,672
358,Wisconsin NCAA,36,27,9,.750,20.84,11.28,,13,7,,14,3,,6,5,,2875,2531,,1445,964,2121,.455,354,1017,.348,593,717,.827,336,1318,526,186,85,351,596
359,Wofford NCAA,35,19,16,.543,-0.19,-2.40,,10,8,,7,6,,8,8,,2623,2451,,1410,935,2068,.452,340,992,.343,413,626,.660,453,1337,524,209,88,383,592
360,Wright State,33,15,18,.455,-4.86,-3.77,,8,12,,11,4,,3,12,,2551,2520,,1335,952,1928,.494,279,726,.384,368,521,.706,307,1139,502,188,103,401,556
361,Wyoming,32,12,20,.375,-0.58,4.29,,5,15,,8,7,,3,10,,2149,2277,,1285,779,1778,.438,243,710,.342,348,534,.652,337,1114,373,141,89,412,617
362,Xavier NCAA,34,22,12,.647,15.47,8.94,,13,7,,15,2,,5,7,,2656,2434,,1370,905,1938,.467,285,728,.391,561,711,.789,264,1131,568,263,86,371,533
363,Yale NCAA,30,22,8,.733,6.80,-2.96,,13,1,,11,0,,7,6,,2439,2102,,1200,896,1830,.490,229,591,.387,418,573,.729,329,1151,492,173,108,302,489
364,Youngstown State,34,21,13,.618,-3.83,-4.96,,13,7,,10,5,,9,6,,2599,2446,,1370,884,2028,.436,299,934,.320,532,726,.733,378,1242,469,236,179,416,624
