,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
145,Lindenwood,33,16,17,.485,-13.16,-7.26,,10,10,,11,3,,3,12,,2348,2354,,1340,837,1983,.422,192,678,.283,482,709,.680,380,1203,370,277,133,415,534
146,Lipscomb NCAA,35,25,10,.714,4.56,-4.26,,14,4,,15,3,,10,6,,2752,2371,,1405,958,2035,.471,344,964,.357,492,620,.794,287,1241,530,242,104,341,437
147,Little Rock,33,19,14,.576,-6.82,-7.63,,12,8,,9,5,,9,7,,2287,2219,,1330,843,1894,.445,215,583,.369,386,548,.704,342,1112,447,298,172,458,563
148,Long Beach State,32,7,25,.219,-10.10,-0.33,,3,17,,3,11,,4,11,,2152,2374,,1295,736,1698,.433,218,625,.349,462,611,.756,304,1021,364,182,96,460,585
149,Long Island University,33,17,16,.515,-10.75,-9.58,,12,4,,9,5,,7,8,,2235,2156,,1345,831,1910,.435,201,649,.310,372,518,.718,382,1172,388,269,117,430,625
150,Longwood,32,18,14,.563,-4.52,-4.94,,7,9,,12,4,,5,7,,2504,2371,,1280,847,1830,.463,206,620,.332,604,831,.727,362,1111,427,244,65,400,590
151,Louisiana,33,12,21,.364,-10.61,-2.23,,8,10,,5,12,,6,5,,2159,2410,,1330,757,1897,.399,223,720,.310,422,579,.729,316,1013,340,243,95,357,578
152,Louisiana State,32,14,18,.438,9.94,9.69,,3,15,,11,7,,2,8,,2363,2355,,1295,838,1885,.445,250,820,.305,437,612,.714,330,1141,409,227,151,419,537
153,Louisiana Tech,32,20,12,.625,1.57,-0.60,,9,9,,11,4,,5,7,,2364,2188,,1300,830,1780,.466,248,730,.340,456,608,.750,307,1166,485,205,131,402,505
154,Louisiana-Monroe,32,7,25,.219,-15.01,-4.21,,3,15,,5,11,,2,12,,2205,2417,,1290,782,1920,.407,218,658,.331,423,593,.713,360,1155,413,228,76,374,448
155,Louisville NCAA,35,27,8,.771,18.58,9.58,,18,2,,14,3,,9,2,,2747,2432,,1405,947,2088,.454,328,999,.328,525,704,.746,389,1305,486,223,100,395,545
156,Loyola (IL),34,23,11,.676,3.48,0.08,,12,6,,16,1,,6,5,,2499,2335,,1375,896,1953,.459,290,824,.352,417,627,.665,346,1213,542,217,154,416,605
157,Loyola (MD),31,12,19,.387,-11.76,-8.39,,6,12,,7,7,,5,12,,2145,2205,,1245,775,1779,.436,229,704,.325,366,525,.697,310,1034,426,223,89,372,475
158,Loyola Marymount,32,17,15,.531,1.44,3.18,,8,10,,11,6,,3,8,,2279,2290,,1280,821,1868,.440,252,755,.334,385,532,.724,251,1068,423,185,126,333,527
159,Maine,34,20,14,.588,-5.65,-7.83,,10,6,,9,3,,7,9,,2409,2248,,1365,893,1929,.463,225,634,.355,398,542,.734,253,1030,504,308,124,352,511
160,Manhattan,30,17,13,.567,-7.34,-8.31,,12,8,,9,5,,8,7,,2280,2235,,1225,792,1809,.438,260,755,.344,436,566,.770,358,1109,452,190,76,354,426
161,Marist,30,20,10,.667,-8.81,-10.31,,13,7,,11,4,,9,5,,1979,1934,,1215,753,1712,.440,202,643,.314,271,383,.708,310,1079,420,173,103,358,448
162,Marquette NCAA,34,23,11,.676,18.47,10.64,,13,7,,14,3,,7,6,,2603,2337,,1370,943,2123,.444,321,985,.326,396,550,.720,372,1159,467,305,124,318,545
163,Marshall,33,20,13,.606,-2.15,-4.41,,12,6,,14,3,,5,9,,2499,2366,,1325,883,2004,.441,260,807,.322,473,683,.693,412,1239,482,219,180,382,636
164,Maryland NCAA,34,26,8,.765,23.36,9.36,,14,6,,16,2,,5,5,,2776,2260,,1366,991,2096,.473,276,739,.373,518,694,.746,365,1256,493,266,156,347,529
165,Maryland-Baltimore County,32,13,19,.406,-11.41,-8.06,,5,11,,8,9,,5,10,,2559,2522,,1300,929,1917,.485,287,741,.387,414,598,.692,238,1027,469,235,85,364,490
166,Maryland-Eastern Shore,31,6,25,.194,-20.53,-4.35,,2,12,,5,7,,1,17,,2090,2410,,1240,738,1740,.424,210,639,.329,404,608,.664,307,1021,361,165,62,416,557
167,Massachusetts,32,12,20,.375,-2.76,0.46,,7,11,,8,8,,4,7,,2333,2399,,1300,841,2053,.410,185,658,.281,466,702,.664,456,1269,413,249,155,375,580
168,Massachusetts-Lowell,32,17,15,.531,-7.10,-7.45,,6,10,,14,4,,4,10,,2543,2371,,1290,916,1843,.497,226,639,.354,485,628,.772,274,1145,492,188,137,401,427
169,McNeese State NCAA,34,28,6,.824,9.17,-1.77,,19,1,,13,1,,10,2,,2618,2180,,1360,938,1963,.478,256,721,.355,486,691,.703,403,1238,477,304,118,368,550
170,Memphis NCAA,35,29,6,.829,12.25,5.76,,16,2,,13,2,,11,2,,2795,2568,,1415,981,2078,.472,260,692,.376,573,816,.702,427,1313,505,271,166,486,624
171,Mercer,33,14,19,.424,-8.50,-5.18,,6,12,,7,6,,5,11,,2511,2485,,1335,919,2113,.435,273,849,.322,400,611,.655,386,1297,436,278,87,398,547
172,Mercyhurst,31,15,16,.484,-15.26,-9.22,,9,7,,10,2,,4,13,,2105,2167,,1255,735,1703,.432,214,610,.351,421,525,.802,235,849,419,227,67,335,519
173,Merrimack,33,18,15,.545,-4.46,-5.85,,14,6,,8,5,,9,8,,2166,2120,,1330,787,1861,.423,263,798,.330,329,455,.723,232,932,391,313,124,297,518
174,Miami (FL),31,7,24,.226,0.46,7.10,,3,17,,7,10,,0,10,,2294,2500,,1250,849,1849,.459,223,712,.313,373,488,.764,293,977,399,198,106,339,445
175,Miami (OH),34,25,9,.735,-0.84,-5.27,,14,4,,15,1,,6,7,,2740,2473,,1365,985,2046,.481,363,914,.397,407,562,.724,319,1159,550,272,120,412,601
176,Michigan NCAA,35,26,9,.743,19.98,13.06,,14,6,,13,3,,7,3,,2729,2487,,1410,962,2036,.472,290,868,.334,515,712,.723,383,1341,563,188,124,493,597
177,Michigan State NCAA,34,28,6,.824,22.45,11.12,,17,3,,15,1,,8,2,,2666,2281,,1365,933,2026,.461,207,666,.311,593,761,.779,411,1368,572,184,152,392,576
178,Middle Tennessee,34,22,12,.647,2.57,1.07,,12,6,,11,5,,8,5,,2608,2466,,1395,945,2084,.453,259,819,.316,459,685,.670,393,1305,427,224,148,391,588
179,Milwaukee,32,21,11,.656,0.38,-3.76,,14,6,,13,3,,7,8,,2510,2295,,1290,907,1939,.468,189,613,.308,507,741,.684,462,1253,457,246,105,423,562
180,Minnesota,32,15,17,.469,8.48,10.13,,7,13,,10,9,,5,5,,2178,2231,,1305,796,1806,.441,209,649,.322,377,568,.664,337,1084,488,193,151,346,561
181,Mississippi NCAA,34,23,11,.676,17.75,12.25,,10,8,,13,3,,5,6,,2618,2431,,1370,901,2037,.442,280,817,.343,536,729,.735,313,1131,482,296,130,308,616
182,Mississippi State NCAA,34,21,13,.618,17.15,11.80,,8,10,,10,5,,6,5,,2704,2522,,1375,971,2147,.452,288,916,.314,474,676,.701,435,1288,517,310,152,365,591
183,Mississippi Valley State,31,3,28,.097,-34.45,-4.62,,1,17,,2,9,,1,19,,1678,2506,,1240,610,1568,.389,140,473,.296,318,482,.660,238,868,258,186,60,501,507
184,Missouri NCAA,34,22,12,.647,19.49,9.49,,10,8,,18,2,,3,7,,2844,2504,,1365,939,1949,.482,296,806,.367,670,918,.730,374,1157,467,318,89,370,620
185,Missouri State,32,9,23,.281,-3.87,0.60,,2,18,,7,8,,1,12,,2175,2268,,1315,776,1735,.447,228,639,.357,395,602,.656,334,1046,390,236,83,437,580
186,Monmouth,33,13,20,.394,-7.96,-2.93,,10,8,,8,2,,4,14,,2321,2487,,1335,784,1908,.411,233,661,.352,520,701,.742,357,1124,389,195,147,364,592
187,Montana NCAA,35,25,10,.714,-1.25,-1.41,,15,3,,15,1,,7,8,,2680,2565,,1405,964,1934,.498,256,716,.358,496,674,.736,253,1108,474,219,112,380,564
188,Montana State,33,15,18,.455,-2.60,-2.54,,9,9,,11,3,,3,14,,2354,2298,,1325,835,1834,.455,270,793,.340,414,571,.725,230,1033,435,210,119,328,528
189,Morehead State,32,15,17,.469,-13.65,-7.52,,10,10,,9,5,,6,10,,2116,2199,,1285,741,1779,.417,190,614,.309,444,658,.675,361,1171,368,179,82,377,506
